last 4 digits of sid	Assign1	Assign2	Assign3	Assign4	Assign5	Assign6	Assign7	Assign8	participation	weekly %	midterm	Final	Adjusted Final	Total	Grade
3251	9	15	20	20	17	18	16	19	20	93.33%	83	54	62	78.73	2.6
7191	7	14	15	18	18	20	20	17	20	90.30%	81	58	66	78.72	2.6
5401	8	13	20	17	20	10	10	19	20	83.03%	81	65	73	78.61	2.6
3943	8	15	17	18	19	16	20	18	20	91.52%	70	62	70	78.61	2.6
7361	9	15	19	19	18	8	20	18	20	88.48%	68	66	74	78.59	2.6
5988	8	15	20	17	18	15	19	18	20	90.91%	67	64	72	78.56	2.6
0680	9	14	20	19	17	19	20	19	20	95.15%	80	53	61	78.46	2.5
1003	7	15	20	18	18	18	18	18	20	92.12%	78	57	65	78.45	2.5
2089	9	15	20	20	18	19	20	19	20	96.97%	68	57	65	78.39	2.5
6830	9	15	19	20	14	20	19	18	20	93.33%	83	53	61	78.33	2.5
8164	6	14	20	17	18	10	19	19	20	86.67%	86	58	66	78.27	2.5
1634	8	14	20	20	16	20	18	20	20	94.55%	54	66	74	78.22	2.5
0170	8	13	20	19	18	17	19	16	20	90.91%	67	63	71	78.16	2.5
0552	8	15	20	18	20	20	8.5	17	20	88.79%	69	64	72	78.12	2.5
7450	6	14	18	17	20	19	17	16	20	89.09%	68	64	72	78.04	2.5
2808	9	15	20	18	20	20	18	18	20	95.76%	80	51	59	77.90	2.5
1189	7	13	16	20	18	17	17	16	15	84.24%	89	58	66	77.90	2.5
1290	8	14	19	18	17	8	17	17	20	83.64%	84	61	69	77.85	2.5
2797	9	15	18	17	17	20	19	16	20	91.52%	72	59	67	77.81	2.5
5029	8	15	20	20	18	18	17	19	6	85.45%	52	75	83	77.78	2.5
3582	7	15	20	20	18	10	20	19	20	90.30%	80	56	64	77.72	2.5
6308	9	15	20	19	16	6	14	14	20	80.61%	77	67	75	77.64	2.5
1698	10	14	19	18	16	9.5	9.5	18	12	76.36%	67	76	84	77.55	2.5
2361	10	15	20	20	18	16	20	10	20	90.30%	81	55	63	77.52	2.5
7933	7	14	20	12	19	20	19	18	18	89.09%	77	58	66	77.44	2.5
8621	10	15	20	19	19	20	17	17	20	95.15%	71	54	62	77.06	2.4
1855	9	15	20	18	19	20	20	20	20	97.58%	58	58	66	77.03	2.4
6651	9	15	20	20	19	9	13	 	18	74.55%	76	72	80	77.02	2.4
9640	8	15	20	19	20	20	19	19	20	96.97%	69	53	61	76.99	2.4
2236	9	15	20	20	18	20	20	18	20	96.97%	67	54	62	76.99	2.4
6759	8	11	20	19	14	8	20	16	12	77.58%	67	73	81	76.83	2.4
2570	8	15	17	20	20	13	16	18	20	89.09%	65	62	70	76.64	2.4
